Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Current education level,Fluent languages,Subject,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
64a17ebf989a97b3efedba77,5f4cc4ea00dba58ecd5a98a4,APPROVED,2023-07-02T13:42:23.807000Z,2023-07-02T14:05:09.750000Z,2023-07-02T18:46:47.261000,2023-07-02T14:05:10.214451Z,1366,CACDZOAC,315,Undergraduate degree (BA/BSc/other),"Italian, English",Physics,22,Male,Mixed,Italy,Italy,Italy,Italian,Yes,"Not in paid work (e.g. homemaker', 'retired or disabled)"
64a17f01b28536d5beb892f6,60fa1f2cf2278d3aa499500d,APPROVED,2023-07-02T13:43:29.375000Z,2023-07-02T14:05:07.436000Z,2023-07-02T18:46:47.460000,2023-07-02T14:05:07.920537Z,1299,CACDZOAC,216,Undergraduate degree (BA/BSc/other),English,Engineering,24,Male,Black,South Africa,South Africa,South Africa,English,Yes,Unemployed (and job seeking)
64a17f0a8ccfbb1a716287b0,5daca079bf590700167f704d,APPROVED,2023-07-02T13:43:42.189000Z,2023-07-02T13:51:12.373000Z,2023-07-03T07:02:27.833000,2023-07-02T13:51:12.813674Z,451,CACDZOAC,314,Undergraduate degree (BA/BSc/other),"Polish, Spanish, Japanese, English, Russian, French",Mathematics,22,Male,White,Poland,Poland,Poland,English,Yes,Part-Time
64a17f240959b7c0a42c4fee,616a91195f915bc9200cf1e7,APPROVED,2023-07-02T13:44:10.735000Z,2023-07-02T13:58:35.745000Z,2023-07-02T18:46:47.613000,2023-07-02T13:58:36.822420Z,866,CACDZOAC,338,Undergraduate degree (BA/BSc/other),"English, Swahili, Korean","Accounting, Business, Economics, Mathematics, Management",22,Female,Black,South Africa,South Africa,South Africa,English,Yes,Unemployed (and job seeking)
64a17f47b74ee2bdac40208a,60f9de2d1846b79ba86bf597,APPROVED,2023-07-02T13:44:39.099000Z,2023-07-02T14:13:13.458000Z,2023-07-02T18:46:47.763000,2023-07-02T14:13:13.908653Z,1715,CACDZOAC,103,Undergraduate degree (BA/BSc/other),"Afrikaans, English","Mathematics, Physics",23,Male,Black,South Africa,South Africa,South Africa,English,Yes,Unemployed (and job seeking)
64a17f49a86dc371ce2c5032,5f52942b758cc0573b0eab12,APPROVED,2023-07-02T13:44:41.702000Z,2023-07-02T14:07:23.933000Z,2023-07-02T18:46:47.888000,2023-07-02T14:07:24.448254Z,1363,CACDZOAC,372,Undergraduate degree (BA/BSc/other),"Portuguese, English",Engineering,22,Male,White,Portugal,Portugal,Portugal,Portuguese,Yes,Other
64a17f5ebe4625d03515c81c,616339fb9e3325c75e27ec9a,APPROVED,2023-07-02T13:45:08.885000Z,2023-07-02T13:56:23.268000Z,2023-07-02T18:46:48.052000,2023-07-02T13:56:23.695557Z,675,CACDZOAC,114,Undergraduate degree (BA/BSc/other),English,Engineering,22,Female,Black,South Africa,South Africa,South Africa,English,Yes,Unemployed (and job seeking)
64a17f8200f254148fa68800,60feee53991033aa986fa755,APPROVED,2023-07-02T13:45:38.819000Z,2023-07-02T14:07:04.545000Z,2023-07-02T18:46:48.200000,2023-07-02T14:07:05.090203Z,1286,CACDZOAC,104,Undergraduate degree (BA/BSc/other),"English, French, Polish",Mathematics,20,Female,White,Poland,Poland,Poland,Polish,Yes,"Not in paid work (e.g. homemaker', 'retired or disabled)"
64a17fb543de900a48b2eeb9,60c083f2d6dd92d215167345,APPROVED,2023-07-02T13:46:29.101000Z,2023-07-02T13:56:08.527000Z,2023-07-02T18:59:30.349000,2023-07-02T13:56:09.026725Z,580,CACDZOAC,399,Undergraduate degree (BA/BSc/other),"Afrikaans, English","Accounting, Computer Science, Computing (IT), Business, Economics",26,Male,Black,South Africa,South Africa,South Africa,English,Yes,Part-Time
64a17fde6f6715edb995509d,60e7620c9faa7095d8b156c4,APPROVED,2023-07-02T13:47:09.991000Z,2023-07-02T14:09:01.816000Z,2023-07-02T18:46:48.323000,2023-07-02T14:09:02.454027Z,1312,CACDZOAC,301,Undergraduate degree (BA/BSc/other),"Portuguese, English","Computer Science, Computing (IT), Communication and/or Media",21,Male,White,Portugal,Portugal,Portugal,Portuguese,Yes,Due to start a new job within the next month
64a180109e490f14762730c0,615749fdd6986ebfdcdc1d65,APPROVED,2023-07-02T13:48:00.127000Z,2023-07-02T14:02:40.081000Z,2023-07-02T18:46:48.470000,2023-07-02T14:02:40.658061Z,880,CACDZOAC,305,Undergraduate degree (BA/BSc/other),English,Engineering,24,Male,Black,South Africa,South Africa,South Africa,English,Yes,Unemployed (and job seeking)
64a18010d269dffc63b79058,5ee386d305dd19000acbe9eb,APPROVED,2023-07-02T13:48:00.750000Z,2023-07-02T13:59:15.868000Z,2023-07-02T18:46:48.608000,2023-07-02T13:59:16.352110Z,676,CACDZOAC,338,Undergraduate degree (BA/BSc/other),"English, Polish, Russian",Computer Science,22,Female,White,Poland,Poland,Poland,Polish,Yes,"Not in paid work (e.g. homemaker', 'retired or disabled)"
64a1801191fe098b51b2ee69,5eccd6688c01ab8ac751f614,APPROVED,2023-07-02T13:48:01.839000Z,2023-07-02T14:02:33.081000Z,2023-07-02T18:46:48.744000,2023-07-02T14:02:33.560254Z,872,CACDZOAC,350,Undergraduate degree (BA/BSc/other),"Italian, English",Engineering,27,Male,White,Italy,Italy,Italy,Italian,Yes,Unemployed (and job seeking)
64a18019eb09364828e1e18e,5d7b411b16c9af0001b42540,APPROVED,2023-07-02T13:48:09.990000Z,2023-07-02T13:59:10.182000Z,2023-07-02T18:46:48.910000,2023-07-02T13:59:10.714791Z,661,CACDZOAC,554,Undergraduate degree (BA/BSc/other),"Italian, English","Geography, Science",28,Female,White,Italy,Italy,Italy,Italian,Yes,Part-Time
64a1804725d3e7ff3c060dff,5f4826ac7f52512d8d8272b9,APPROVED,2023-07-02T13:48:55.478000Z,2023-07-02T14:08:10.574000Z,2023-07-02T18:46:49.048000,2023-07-02T14:08:10.995926Z,1156,CACDZOAC,239,Undergraduate degree (BA/BSc/other),"Afrikaans, English","Computing (IT), Business, Computer Science",24,Male,White,South Africa,South Africa,South Africa,Afrikaans,Yes,Unemployed (and job seeking)
64a18053e1dc6329b47fe7ed,5ea9611edec14d052ada0bae,APPROVED,2023-07-02T13:49:07.895000Z,2023-07-02T14:03:06.202000Z,2023-07-02T18:46:49.194000,2023-07-02T14:03:06.671743Z,839,CACDZOAC,159,Undergraduate degree (BA/BSc/other),"English, Greek",Physics,23,Female,White,Greece,Greece,Greece,Greek,Yes,Unemployed (and job seeking)
64a1807d862053ca622730d9,604a3c8ec261d2fa6ac242c3,RETURNED,2023-07-02T13:49:49.089000Z,2023-07-02T14:20:37.162000Z,,2023-07-02T14:20:37.899000Z,,CACDZOAC,340,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
64a1808c5faf44a10ca10b60,63fcf1f5e0e4b99c307059e4,APPROVED,2023-07-02T13:50:17.030000Z,2023-07-02T14:13:27.676000Z,2023-07-02T18:46:49.341000,2023-07-02T14:13:28.803466Z,1391,CACDZOAC,56,Undergraduate degree (BA/BSc/other),"Arabic, English",Engineering,23,Male,Other,Kuwait,Germany,Syrian Arab Republic,Arabic,Yes,Other
